2;17497.56;50;1.68;1;1
3;16715.54;50;1.75;1;1
4;17350.93;50;1.67;1;1
5;16813.29;50;1.74;1;1
6;17253.18;50;1.68;1;1
7;16764.42;50;1.73;1;1
8;17253.18;50;1.68;1;1
9;16813.29;50;1.73;1;1
10;17204.30;50;1.68;1;1
11;16813.29;50;1.72;1;1
12;17155.43;50;1.68;1;1
13;16813.29;50;1.72;1;1
14;17106.55;50;1.68;1;1
15;16911.04;50;1.71;1;1
16;17204.30;50;1.69;1;1
17;16862.17;50;1.72;1;1
18;17155.43;50;1.69;1;1
19;16813.29;50;1.72;1;1
20;17008.80;50;1.68;1;1
21;16959.92;50;1.70;1;1
22;17155.43;50;1.70;1;1
23;16568.91;50;1.72;1;1
24;17253.18;50;1.66;1;1
25;16959.92;50;1.73;1;1
26;16911.04;50;1.70;1;1
27;16471.16;50;1.69;1;1
28;16862.17;50;1.65;1;1
29;16373.41;50;1.69;1;1
30;16911.04;50;1.64;1;1
31;16520.04;50;1.69;1;1
32;16764.42;50;1.65;1;1
33;16422.29;50;1.68;1;1
34;16862.17;50;1.64;1;1
35;16373.41;50;1.69;1;1
36;16911.04;50;1.64;1;1
37;16422.29;50;1.69;1;1
38;16813.29;50;1.64;1;1
39;16422.29;50;1.68;1;1
40;16666.67;50;1.64;1;1
41;16422.29;50;1.67;1;1
42;16764.42;50;1.64;1;1
43;16520.04;50;1.68;1;1
44;16813.29;50;1.65;1;1
45;16324.54;50;1.68;1;1
46;16715.54;50;1.63;1;1
47;16226.78;50;1.67;1;1
48;16813.29;50;1.62;1;1
49;16520.04;50;1.68;1;1
50;16764.42;50;1.65;1;1
51;16666.67;50;1.68;1;1
52;16471.16;50;1.67;1;1
53;16471.16;50;1.65;1;1
54;16373.41;50;1.65;1;1
55;16520.04;50;1.64;1;1
56;16666.67;50;1.65;1;1
57;16715.54;50;1.67;1;1
58;16568.91;50;1.67;1;1
59;16617.79;50;1.66;1;1
60;16520.04;50;1.66;1;1
61;16764.42;50;1.65;1;1
62;16520.04;50;1.68;1;1
63;16911.04;50;1.65;1;1
64;16471.16;50;1.69;1;1
65;16959.92;50;1.65;1;1
66;16422.29;50;1.70;1;1
67;16813.29;50;1.64;1;1
68;16568.91;50;1.68;1;1
69;16764.42;50;1.66;1;1
70;16520.04;50;1.68;1;1
71;16911.04;50;1.65;1;1
72;16715.54;50;1.69;1;1
73;16959.92;50;1.67;1;1
74;16520.04;50;1.70;1;1
75;17057.67;50;1.65;1;1
76;16764.42;50;1.71;1;1
77;17057.67;50;1.68;1;1
78;16813.29;50;1.71;1;1
79;17204.30;50;1.68;1;1
80;16715.54;50;1.72;1;1
81;17302.05;50;1.67;1;1
82;16959.92;50;1.73;1;1
83;17057.67;50;1.70;1;1
84;16373.41;50;1.71;1;1
85;16813.29;50;1.64;1;1
86;16715.54;50;1.68;1;1
87;17057.67;50;1.67;1;1
88;16813.29;50;1.71;1;1
89;16959.92;50;1.68;1;1
90;16715.54;50;1.70;1;1
91;17057.67;50;1.67;1;1
92;16813.29;50;1.71;1;1
93;17155.43;50;1.68;1;1
94;17008.80;50;1.72;1;1
95;17057.67;50;1.70;1;1
96;16715.54;50;1.71;1;1
97;17253.18;50;1.67;1;1
98;17057.67;50;1.73;1;1
99;17253.18;50;1.71;1;1
100;17057.67;50;1.73;1;1
101;17106.55;50;1.71;1;1
102;17106.55;50;1.71;1;1
103;17595.31;50;1.71;1;1
104;16862.17;50;1.76;1;1
105;17253.18;50;1.69;1;1
106;17399.80;50;1.73;1;1
107;17644.18;50;1.74;1;1
108;17399.80;50;1.76;1;1
109;17693.06;50;1.74;1;1
110;17350.93;50;1.77;1;1
111;17790.81;50;1.74;1;1
112;17350.93;50;1.78;1;1
113;17839.69;50;1.74;1;1
