2;7468.23;50;0.80;1;0
2;7468.23;50;0.80;1;0
3;7624.63;50;0.75;1;0
4;7106.55;50;0.76;1;0
5;7526.88;50;0.71;1;0
6;7018.57;50;0.75;1;0
7;7614.86;50;0.70;1;0
8;7047.90;50;0.76;1;0
9;7565.98;50;0.70;1;0
10;7047.90;50;0.76;1;0
11;7585.53;50;0.70;1;0
12;7096.77;50;0.76;1;0
13;7526.88;50;0.71;1;0
14;7038.12;50;0.75;1;0
15;7634.41;50;0.70;1;0
16;7262.95;50;0.76;1;0
17;7497.56;50;0.73;1;0
18;7145.65;50;0.75;1;0
19;7556.21;50;0.71;1;0
20;7194.53;50;0.76;1;0
21;7653.96;50;0.72;1;0
22;7204.30;50;0.77;1;0
23;7693.06;50;0.72;1;0
24;7194.53;50;0.77;1;0
25;7565.98;50;0.72;1;0
26;7341.15;50;0.76;1;0
27;7673.51;50;0.73;1;0
28;7321.60;50;0.77;1;0
29;7556.21;50;0.73;1;0
30;7292.28;50;0.76;1;0
31;7644.18;50;0.73;1;0
32;7126.10;50;0.76;1;0
33;7546.43;50;0.71;1;0
34;7067.45;50;0.75;1;0
35;7663.73;50;0.71;1;0
36;7047.90;50;0.77;1;0
37;7526.88;50;0.70;1;0
38;7038.12;50;0.75;1;0
39;7653.96;50;0.70;1;0
40;7057.67;50;0.77;1;0
41;7693.06;50;0.71;1;0
42;7067.45;50;0.77;1;0
43;7693.06;50;0.71;1;0
44;7214.08;50;0.77;1;0
45;7722.39;50;0.72;1;0
46;7165.20;50;0.77;1;0
47;7565.98;50;0.72;1;0
48;7135.88;50;0.76;1;0
49;7507.33;50;0.71;1;0
50;7067.45;50;0.75;1;0
51;7438.91;50;0.71;1;0
52;7165.20;50;0.74;1;0
53;7526.88;50;0.72;1;0
54;7096.77;50;0.75;1;0
55;7409.58;50;0.71;1;0
56;7165.20;50;0.74;1;0
57;7448.68;50;0.72;1;0
58;7155.43;50;0.74;1;0
59;7370.48;50;0.72;1;0
60;7145.65;50;0.74;1;0
61;7380.25;50;0.71;1;0
62;7087.00;50;0.74;1;0
63;7399.80;50;0.71;1;0
64;7165.20;50;0.74;1;0
65;7243.40;50;0.72;1;0
66;7233.63;50;0.72;1;0
67;7341.15;50;0.72;1;0
68;7233.63;50;0.73;1;0
69;7243.40;50;0.72;1;0
70;7214.08;50;0.72;1;0
71;7253.18;50;0.72;1;0
72;7106.55;50;0.73;1;0
73;7194.53;50;0.71;1;0
74;7184.75;50;0.72;1;0
75;7292.28;50;0.72;1;0
76;7380.25;50;0.73;1;0
77;7174.98;50;0.74;1;0
78;7106.55;50;0.72;1;0
79;7087.00;50;0.71;1;0
80;7184.75;50;0.71;1;0
81;7116.32;50;0.72;1;0
82;7272.73;50;0.71;1;0
83;7038.12;50;0.73;1;0
84;7204.30;50;0.70;1;0
85;7165.20;50;0.72;1;0
86;7262.95;50;0.72;1;0
87;7126.10;50;0.73;1;0
88;7292.28;50;0.71;1;0
89;7106.55;50;0.73;1;0
90;7399.80;50;0.71;1;0
91;7096.77;50;0.74;1;0
92;7380.25;50;0.71;1;0
93;7116.32;50;0.74;1;0
94;7253.18;50;0.71;1;0
95;7116.32;50;0.73;1;0
96;7341.15;50;0.71;1;0
97;7145.65;50;0.73;1;0
98;7302.05;50;0.71;1;0
99;7194.53;50;0.73;1;0
100;7253.18;50;0.72;1;0
101;7047.90;50;0.73;1;0
102;7321.60;50;0.70;1;0
103;7067.45;50;0.73;1;0
104;7350.93;50;0.71;1;0
105;7135.88;50;0.74;1;0
106;7292.28;50;0.71;1;0
107;7018.57;50;0.73;1;0
108;7282.50;50;0.70;1;0
109;7243.40;50;0.73;1;0
110;7311.83;50;0.72;1;0
111;7155.43;50;0.73;1;0
112;7292.28;50;0.72;1;0
113;7390.03;50;0.73;1;0
114;7341.15;50;0.74;1;0
115;7194.53;50;0.73;1;0
116;7360.70;50;0.72;1;0
117;7165.20;50;0.74;1;0
118;7292.28;50;0.72;1;0
119;7253.18;50;0.73;1;0
120;7233.63;50;0.73;1;0
121;7253.18;50;0.72;1;0
122;7174.98;50;0.73;1;0
123;7311.83;50;0.72;1;0
124;7360.70;50;0.73;1;0
125;7067.45;50;0.74;1;0
126;7253.18;50;0.71;1;0
127;7174.98;50;0.73;1;0
128;7233.63;50;0.72;1;0
129;7214.08;50;0.72;1;0
130;7155.43;50;0.72;1;0
131;7096.77;50;0.72;1;0
132;7526.88;50;0.71;1;0
133;7087.00;50;0.75;1;0
134;7282.50;50;0.71;1;0
135;7214.08;50;0.73;1;0
136;7321.60;50;0.72;1;0
137;7174.98;50;0.73;1;0
138;7331.38;50;0.72;1;0
139;7047.90;50;0.73;1;0
140;7370.48;50;0.70;1;0
141;7145.65;50;0.74;1;0
142;7399.80;50;0.71;1;0
143;7126.10;50;0.74;1;0
144;7438.91;50;0.71;1;0
145;7057.67;50;0.74;1;0
146;7458.46;50;0.71;1;0
147;7106.55;50;0.75;1;0
148;7468.23;50;0.71;1;0
149;7038.12;50;0.75;1;0
150;7458.46;50;0.70;1;0
151;6999.02;50;0.75;1;0
152;7458.46;50;0.70;1;0
153;7057.67;50;0.75;1;0
154;7536.66;50;0.71;1;0
155;7077.22;50;0.75;1;0
156;7409.58;50;0.71;1;0
157;6999.02;50;0.74;1;0
158;7487.78;50;0.70;1;0
159;7126.10;50;0.75;1;0
160;7478.01;50;0.71;1;0
161;7116.32;50;0.75;1;0
162;7438.91;50;0.71;1;0
163;6999.02;50;0.74;1;0
164;7478.01;50;0.70;1;0
165;6891.50;50;0.75;1;0
166;7614.86;50;0.69;1;0
167;7018.57;50;0.76;1;0
168;7438.91;50;0.70;1;0
169;6930.60;50;0.74;1;0
170;7448.68;50;0.69;1;0
171;6999.02;50;0.74;1;0
172;7565.98;50;0.70;1;0
173;6959.92;50;0.76;1;0
174;7497.56;50;0.70;1;0
175;6940.37;50;0.75;1;0
176;7478.01;50;0.69;1;0
177;7028.35;50;0.75;1;0
178;7517.11;50;0.70;1;0
179;7038.12;50;0.75;1;0
180;7458.46;50;0.70;1;0
