1;0,7233625;50
2;1,434506;50
3;1,434506;50
4;1,434506;50
5;1,434506;50
6;1,434506;50
7;1,4320625;50
8;1,4320625;50
9;1,4320625;50
10;1,4345065;50
11;1,4345065;50
12;1,4345065;50
13;1,4345065;50
14;1,4345065;50
15;1,4345065;50
16;1,4345065;50
17;1,4345065;50
18;1,4345065;50
19;1,4345065;50
20;1,4345065;50
21;1,4320625;50
22;1,4345065;50
23;1,4345065;50
24;1,4332845;50
25;1,430841;50
26;1,432063;50
27;1,4332845;50
28;1,4332845;50
29;1,4345065;50
30;1,435728;50
31;1,435728;50
32;1,4345065;50
33;1,4345065;50
34;1,4345065;50
35;1,4345065;50
36;1,4345065;50
37;1,4345065;50
38;1,4345065;50
39;1,4345065;50
40;1,43695;50
41;1,4345065;50
42;1,4345065;50
43;1,4345065;50
44;1,4369505;50
45;1,4357285;50
46;1,4345065;50
47;1,4357285;50
48;1,4345065;50
49;1,4320625;50
50;1,4320625;50
51;1,4332845;50
52;1,4332845;50
53;1,435728;50
54;1,4332845;50
55;1,4332845;50
56;1,4332845;50
57;1,4345065;50
58;1,4345065;50
59;1,4345065;50
60;1,4345065;50
61;1,4345065;50
62;1,4345065;50
63;1,432063;50
64;1,4345065;50
65;1,4345065;50
66;1,4345065;50
67;1,4320625;50
68;1,4332845;50
69;1,4332845;50
70;1,4345065;50
71;1,4345065;50
72;1,4320625;50
73;1,4320625;50
74;1,4320625;50
75;1,4332845;50
76;1,4332845;50
77;1,4345065;50
78;1,4345065;50
79;1,4345065;50
80;1,4345065;50
81;1,4345065;50
82;1,4369505;50
83;1,4345065;50
84;1,4345065;50
85;1,4345065;50
86;1,43695;50
87;1,434506;50
88;1,433284;50
89;1,433284;50
90;1,4320625;50
91;1,4320625;50
92;1,4320625;50
93;1,4332845;50
94;1,4332845;50
95;1,4320625;50
96;1,4320625;50
97;1,4320625;50
98;1,4320625;50
99;1,4345065;50
100;1,4345065;50
101;1,4332845;50
102;1,4332845;50
103;1,4345065;50
104;1,4345065;50
105;1,4332845;50
106;1,4332845;50
107;1,4332845;50
108;1,4308405;50
109;1,4308405;50
110;1,434506;50
111;1,433284;50
112;1,4320625;50
113;1,4320625;50
114;1,4320625;50
115;1,4320625;50
116;1,433284;50
117;1,433284;50
118;1,4320625;50
119;1,4320625;50
120;1,4320625;50
121;1,4320625;50
122;1,4320625;50
123;1,4320625;50
124;1,434506;50
125;1,4320625;50
126;1,4308405;50
127;1,4308405;50
128;1,4320625;50
129;1,4332845;50
130;1,4332845;50
131;1,4332845;50
132;1,4332845;50
133;1,434506;50
134;1,434506;50
135;1,434506;50
136;1,434506;50
137;1,4320625;50
138;1,4320625;50
139;1,4332845;50
140;1,4332845;50
141;1,4320625;50
142;1,4320625;50
143;1,4320625;50
144;1,4320625;50
145;1,4320625;50
146;1,4320625;50
147;1,4320625;50
148;1,4320625;50
149;1,4320625;50
150;1,4320625;50
151;1,4320625;50
152;1,4320625;50
153;1,4320625;50
154;1,4320625;50
155;1,4320625;50
156;1,4320625;50
157;1,4320625;50
158;1,4320625;50
159;1,4320625;50
160;1,4320625;50
161;1,4320625;50
162;1,4320625;50
163;1,4320625;50
164;1,4320625;50
165;1,4332845;50
166;1,4320625;50
167;1,433284;50
168;1,434506;50
169;1,4320625;50
170;1,4320625;50
171;1,434506;50
172;1,4320625;50
173;1,4320625;50
174;1,4320625;50
175;1,4345065;50
176;1,4320625;50
177;1,4320625;50
178;1,4332845;50
179;1,4332845;50
180;1,4332845;50
181;1,4332845;50
182;1,4332845;50
183;1,4332845;50
184;1,4332845;50
185;1,4332845;50
186;1,4332845;50
187;1,4320625;50
188;1,428397;50
189;1,430841;50
190;1,4320625;50
191;1,4332845;50
192;1,4345065;50
193;1,4345065;50
194;1,4345065;50
195;1,4320625;50
196;1,4308405;50
197;1,4308405;50
198;1,4320625;50
199;1,4320625;50
200;1,4320625;50
201;1,435728;50
202;1,4332845;50
203;1,4332845;50
204;1,4332845;50
205;1,4345065;50
206;1,4320625;50
207;1,4320625;50
208;1,4320625;50
209;1,4320625;50
210;1,4320625;50
211;1,4320625;50
212;1,4345065;50
213;1,4345065;50
214;1,4345065;50
215;1,4345065;50
216;1,4345065;50
217;1,4345065;50
